Timetable Export Report
Generated: 9/16/2025, 10:38:20 AM
Format: CSV
Selected Data: students, courses, faculty, rooms


=== STUDENTS ===
id,studentId,firstName,lastName,email,phone,program,semester,batch,sectionId,enrolledCourses,preferences,isActive,createdAt
student-1,STU0001,Aarav,Sharma,aarav.sharma1@student.university.edu,+916483195499,Computer Science,1,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-2,STU0002,Vivaan,Verma,vivaan.verma2@student.university.edu,+918020712248,Information Technology,2,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-3,STU0003,Aditya,Gupta,aditya.gupta3@student.university.edu,+919776535133,Electronics Engineering,3,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-4,STU0004,Vihaan,Singh,vihaan.singh4@student.university.edu,+918623767031,Mechanical Engineering,4,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-5,STU0005,Arjun,Kumar,arjun.kumar5@student.university.edu,+912345429331,Civil Engineering,5,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-6,STU0006,Sai,Jain,sai.jain6@student.university.edu,+911942994970,Computer Science,6,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-7,STU0007,Reyansh,Agarwal,reyansh.agarwal7@student.university.edu,+911674663653,Information Technology,7,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-8,STU0008,Ayaan,Patel,ayaan.patel8@student.university.edu,+914363284472,Electronics Engineering,8,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
student-9,STU0009,Krishna,Shah,krishna.shah9@student.university.edu,+916737648418,Mechanical Engineering,1,Batch-2023,,[],{},true,2025-09-16T05:07:55.086Z
student-10,STU0010,Ishaan,Mehta,ishaan.mehta10@student.university.edu,+913235966426,Civil Engineering,2,Batch-2024,,[],{},true,2025-09-16T05:07:55.086Z
student-11,STU0011,Shaurya,Joshi,shaurya.joshi11@student.university.edu,+916961786970,Computer Science,3,Batch-2020,,[],{},true,2025-09-16T05:07:55.086Z
student-12,STU0012,Atharv,Mishra,atharv.mishra12@student.university.edu,+911606441587,Information Technology,4,Batch-2021,,[],{},true,2025-09-16T05:07:55.086Z
student-13,STU0013,Advik,Tiwari,advik.tiwari13@student.university.edu,+918559660664,Electronics Engineering,5,Batch-2022,,[],{},true,2025-09-16T05:07:55.086Z
